name,gender,known_for_department,original_name,popularity
Eric Larson,0.6666666666666666,Visual Effects,Eric Larson,1.0
Robert Middlemass,0.6666666666666666,Acting,Robert Middlemass,1.0
María Vaner,0.3333333333333333,Acting,María Vaner,1.0
Carl Wharton,0.6666666666666666,Acting,Carl Wharton,1.0
Victor Moore,0.6666666666666666,Acting,Victor Moore,1.0
Sydney Sweeney,0.3333333333333333,Acting,Sydney Sweeney,1.0
Omar Chaparro,0.6666666666666666,Acting,Omar Chaparro,1.0
Julanne Johnston,0.3333333333333333,Acting,Julanne Johnston,1.0
Edward Grover,0.6666666666666666,Acting,Edward Grover,1.0
Hannah Cheramy,0.3333333333333333,Acting,Hannah Cheramy,1.0
Daniella Wang,0.3333333333333333,Acting,王李丹妮,1.0
Linda Kerridge,0.3333333333333333,Acting,Linda Kerridge,1.0
Louis Wolheim,0.6666666666666666,Acting,Louis Wolheim,1.0
Anne Hathaway,0.3333333333333333,Acting,Anne Hathaway,1.0
Robert Reich,0.6666666666666666,Acting,Robert Reich,1.0
Nadia Farès,0.3333333333333333,Acting,Nadia Farès,1.0
Meelis Rämmeld,0.6666666666666666,Acting,Meelis Rämmeld,1.0
Sonny Bupp,0.6666666666666666,Acting,Sonny Bupp,1.0
Charlize Theron,0.3333333333333333,Acting,Charlize Theron,1.0
Meenakshi Dinesh,0.3333333333333333,Acting,Meenakshi Dinesh,1.0
Jackie Chan,0.6666666666666666,Acting,成龍,1.0
Valorie Curry,0.3333333333333333,Acting,Valorie Curry,1.0
Lily-Rose Watier,0.3333333333333333,Acting,Lily-Rose Watier,1.0
Yoon Yool,0.3333333333333333,Acting,윤율,1.0
Simon Yuen Siu-Tien,0.6666666666666666,Acting,袁小田,1.0
Patrick Muldoon,0.6666666666666666,Acting,Patrick Muldoon,1.0
Megan Fox,0.3333333333333333,Acting,Megan Fox,1.0
Tom Cruise,0.6666666666666666,Acting,Tom Cruise,1.0
Elle Fanning,0.3333333333333333,Acting,Elle Fanning,1.0
Sharon Stone,0.3333333333333333,Acting,Sharon Stone,1.0
Scarlett Johansson,0.3333333333333333,Acting,Scarlett Johansson,1.0
Luis Brandoni,0.6666666666666666,Acting,Luis Brandoni,1.0
Jason Statham,0.6666666666666666,Acting,Jason Statham,1.0
Mila Kunis,0.3333333333333333,Acting,Mila Kunis,1.0
Ji Chang-Wook,0.6666666666666666,Acting,지창욱,1.0
Florence Pugh,0.3333333333333333,Acting,Florence Pugh,1.0
Donatella Damiani,0.3333333333333333,Acting,Donatella Damiani,1.0
Keilyn Durrel Jones,0.6666666666666666,Acting,KeiLyn Durrel Jones,1.0
Taron Egerton,0.6666666666666666,Acting,Taron Egerton,1.0
Hitoe Ootake,0.3333333333333333,Acting,大竹一重,1.0
Tom Hanks,0.6666666666666666,Acting,Tom Hanks,1.0
Alexandra Daddario,0.3333333333333333,Acting,Alexandra Daddario,1.0
Tian Xiwei,0.3333333333333333,Acting,田曦薇,1.0
Henry Cavill,0.6666666666666666,Acting,Henry Cavill,1.0
Jake Gyllenhaal,0.6666666666666666,Acting,Jake Gyllenhaal,1.0
Keanu Reeves,0.6666666666666666,Acting,Keanu Reeves,1.0
Ashley Lopez,0.3333333333333333,Acting,Ashley Lopez,1.0
Morena Baccarin,0.3333333333333333,Acting,Morena Baccarin,1.0
Trevor Dion Nicholas,0.6666666666666666,Acting,Trevor Dion Nicholas,1.0
Jodie Foster,0.3333333333333333,Acting,Jodie Foster,1.0
Anya Taylor-Joy,0.3333333333333333,Acting,Anya Taylor-Joy,1.0
Caleb Allred,0.0,Acting,Caleb Allred,1.0
Angelina Jolie,0.3333333333333333,Acting,Angelina Jolie,1.0
Miguel Ríos,0.6666666666666666,Acting,Miguel Ríos,1.0
Shu Qi,0.3333333333333333,Acting,舒淇,1.0
Robby Benson,0.6666666666666666,Acting,Robby Benson,1.0
Tom Hardy,0.6666666666666666,Acting,Tom Hardy,1.0
Morgan Freeman,0.6666666666666666,Acting,Morgan Freeman,1.0
Matt Damon,0.6666666666666666,Acting,Matt Damon,1.0
Cailee Spaeny,0.3333333333333333,Acting,Cailee Spaeny,1.0
Ryan Gosling,0.6666666666666666,Acting,Ryan Gosling,1.0
Ana De Armas,0.3333333333333333,Acting,Ana de Armas,1.0
Monica Bellucci,0.3333333333333333,Acting,Monica Bellucci,1.0
Joe Anoa'I,0.6666666666666666,Acting,Joe Anoa'i,1.0
Choi Hyun-Wook,0.6666666666666666,Acting,최현욱,1.0
Minami Hamabe,0.3333333333333333,Acting,浜辺美波,1.0
Jenna Ortega,0.3333333333333333,Acting,Jenna Ortega,1.0
Humberto Zurita,0.6666666666666666,Acting,Humberto Zurita,1.0
Jacob Elordi,0.6666666666666666,Acting,Jacob Elordi,1.0
Karl Urban,0.6666666666666666,Acting,Karl Urban,1.0
Jaafar Jackson,0.6666666666666666,Acting,Jaafar Jackson,1.0
Brad Pitt,0.6666666666666666,Acting,Brad Pitt,1.0
Erin Moriarty,0.3333333333333333,Acting,Erin Moriarty,1.0
Leonardo Dicaprio,0.6666666666666666,Acting,Leonardo DiCaprio,1.0
Zhang Linghe,0.6666666666666666,Acting,张凌赫,1.0
Chris Hemsworth,0.6666666666666666,Acting,Chris Hemsworth,1.0
Vin Diesel,0.6666666666666666,Acting,Vin Diesel,1.0
Christine Bermas,0.3333333333333333,Acting,Christine Bermas,1.0
Ess Hödlmoser,1.0,Acting,Ess Hödlmoser,1.0
Salman Khan,0.6666666666666666,Acting,Salman Khan,1.0
Catalina Sandino Moreno,0.3333333333333333,Acting,Catalina Sandino Moreno,1.0
Miguel Ríos,0.6666666666666666,Acting,Miguel Ríos,1.0
Adolfo Aristarain,0.6666666666666666,Directing,Adolfo Aristarain,1.0
Julie Anne Robinson,0.3333333333333333,Directing,Julie Anne Robinson,1.0
Minami Hamabe,0.3333333333333333,Acting,浜辺美波,1.0
Joe Anoa'I,0.6666666666666666,Acting,Joe Anoa'i,1.0
Hunter Schafer,0.3333333333333333,Acting,Hunter Schafer,1.0
Margot Robbie,0.3333333333333333,Acting,Margot Robbie,1.0
Nelia Da Costa,0.3333333333333333,Acting,Nelia Da Costa,1.0
Jensen Ackles,0.6666666666666666,Acting,Jensen Ackles,1.0
Jim Carrey,0.6666666666666666,Acting,Jim Carrey,1.0
Clint Eastwood,0.6666666666666666,Acting,Clint Eastwood,1.0
Daveed Diggs,0.6666666666666666,Acting,Daveed Diggs,1.0
Keiko Kitagawa,0.3333333333333333,Acting,北川景子,1.0
Jude Law,0.6666666666666666,Acting,Jude Law,1.0
Akshay Kumar,0.6666666666666666,Acting,अक्षय कुमार,1.0
Jennifer Connelly,0.3333333333333333,Acting,Jennifer Connelly,1.0
Kim Na-Mi,0.3333333333333333,Acting,김나미,1.0
Michele Morrone,0.6666666666666666,Acting,Michele Morrone,1.0
Mayte Rodríguez,0.3333333333333333,Acting,Mayte Rodríguez,1.0
Emily Blunt,0.3333333333333333,Acting,Emily Blunt,1.0
Emma Elle Paterson,0.3333333333333333,Acting,Emma Elle Paterson,1.0
Emma Roberts,0.3333333333333333,Acting,Emma Roberts,1.0
Jack Black,0.6666666666666666,Acting,Jack Black,1.0
Pierce Brosnan,0.6666666666666666,Acting,Pierce Brosnan,1.0
Truman Hanks,0.6666666666666666,Acting,Truman Hanks,1.0
Sandra Bullock,0.3333333333333333,Acting,Sandra Bullock,1.0
Pedro Pascal,0.6666666666666666,Acting,Pedro Pascal,1.0
Stephanie Cayo,0.3333333333333333,Acting,Stephanie Cayo,1.0
Zhao Lusi,0.3333333333333333,Acting,赵露思,1.0
Mel Gibson,0.6666666666666666,Acting,Mel Gibson,1.0
Song Weilong,0.6666666666666666,Acting,宋威龙,1.0
Johnny Depp,0.6666666666666666,Acting,Johnny Depp,1.0
Aline Mineiro,0.3333333333333333,Acting,Aline Mineiro,1.0
Odeya Rush,0.3333333333333333,Acting,Odeya Rush,1.0
Noah Fearnley,0.6666666666666666,Acting,Noah Fearnley,1.0
Go Youn-Jung,0.3333333333333333,Acting,고윤정,1.0
Colman Domingo,0.6666666666666666,Acting,Colman Domingo,1.0
Daniel Radcliffe,0.6666666666666666,Acting,Daniel Radcliffe,1.0
Dakota Johnson,0.3333333333333333,Acting,Dakota Johnson,1.0
Cecilia Cheung,0.3333333333333333,Acting,張柏芝,1.0
Kei Fubuki,0.3333333333333333,Acting,風吹ケイ,1.0
Shad Moss,0.6666666666666666,Acting,Shad Moss,1.0
İbrahim Çelikkol,0.6666666666666666,Acting,İbrahim Çelikkol,1.0
Halle Berry,0.3333333333333333,Acting,Halle Berry,1.0
Sylvester Stallone,0.6666666666666666,Acting,Sylvester Stallone,1.0
Zendaya,0.3333333333333333,Acting,Zendaya,1.0
Ai Kayano,0.3333333333333333,Acting,茅野愛衣,1.0
Luis Tosar,0.6666666666666666,Acting,Luis Tosar,1.0
Maisie Williams,0.3333333333333333,Acting,Maisie Williams,1.0
Nicolas Cage,0.6666666666666666,Acting,Nicolas Cage,1.0
Timothée Chalamet,0.6666666666666666,Acting,Timothée Chalamet,1.0
Tony Leung Chiu-Wai,0.6666666666666666,Acting,梁朝偉,1.0
Garry Pankhurst,0.6666666666666666,Acting,Garry Pankhurst,1.0
Yda Manzano,0.3333333333333333,Acting,Yda Manzano,1.0
Antony Starr,0.6666666666666666,Acting,Antony Starr,1.0
Kate Hudson,0.3333333333333333,Acting,Kate Hudson,1.0
Drew Barrymore,0.3333333333333333,Acting,Drew Barrymore,1.0
Raghava Lawrence,0.6666666666666666,Acting,Raghava Lawrence,1.0
Jeremy Strong,0.6666666666666666,Acting,Jeremy Strong,1.0
Joaquin Phoenix,0.6666666666666666,Acting,Joaquin Phoenix,1.0
Adam Sandler,0.6666666666666666,Acting,Adam Sandler,1.0
Mckenna Grace,0.3333333333333333,Acting,Mckenna Grace,1.0
Jamie Lee Curtis,0.3333333333333333,Acting,Jamie Lee Curtis,1.0
Kirsten Dunst,0.3333333333333333,Acting,Kirsten Dunst,1.0
Emin Günenç,0.6666666666666666,Acting,Emin Günenç,1.0
Giulio Berruti,0.6666666666666666,Acting,Giulio Berruti,1.0
Milla Jovovich,0.3333333333333333,Acting,Milla Jovovich,1.0
David Corenswet,0.6666666666666666,Acting,David Corenswet,1.0
Demi Moore,0.3333333333333333,Acting,Demi Moore,1.0
Dwayne Johnson,0.6666666666666666,Acting,Dwayne Johnson,1.0
Kim Do-Hee,0.3333333333333333,Acting,Kim Do-hee,1.0
Alejandro Trejo,0.6666666666666666,Acting,Alejandro Trejo,1.0
Fabrizio Guido,0.6666666666666666,Acting,Fabrizio Guido,1.0
Verónica Castro,0.3333333333333333,Acting,Verónica Castro,1.0
Zeynep Atılgan,0.3333333333333333,Acting,Zeynep Atılgan,1.0
Kaley Cuoco,0.3333333333333333,Acting,Kaley Cuoco,1.0
Robert De Niro,0.6666666666666666,Acting,Robert De Niro,1.0
Samuel L. Jackson,0.6666666666666666,Acting,Samuel L. Jackson,1.0
Stuart Campbell,0.6666666666666666,Acting,Stuart Campbell,1.0
Sophie Rundle,0.3333333333333333,Acting,Sophie Rundle,1.0
Jaime Pressly,0.3333333333333333,Acting,Jaime Pressly,1.0
Yu Aoi,0.3333333333333333,Acting,蒼井優,1.0
Sadie Sink,0.3333333333333333,Acting,Sadie Sink,1.0
Tom Holland,0.6666666666666666,Acting,Tom Holland,1.0
Will Smith,0.6666666666666666,Acting,Will Smith,1.0
Michael Douglas,0.6666666666666666,Acting,Michael Douglas,1.0
Jurnee Smollett,0.3333333333333333,Acting,Jurnee Smollett,1.0
Ali Larter,0.3333333333333333,Acting,Ali Larter,1.0
Cillian Murphy,0.6666666666666666,Acting,Cillian Murphy,1.0
Darshana Rajendran,0.3333333333333333,Acting,Darshana Rajendran,1.0
Jet Li,0.6666666666666666,Acting,李连杰,1.0
Mirtha Legrand,0.3333333333333333,Acting,Mirtha Legrand,1.0
Martha Roth,0.3333333333333333,Acting,Martha Roth,0.9739440868034609
Suppakarn Jirachotikul,0.6666666666666666,Acting,ศุภการ จิรโชติกุล,1.0
Chris Pratt,0.6666666666666666,Acting,Chris Pratt,1.0
Daniel Tinayre,0.6666666666666666,Directing,Daniel Tinayre,1.0
Claudia Doumit,0.3333333333333333,Acting,Claudia Doumit,1.0
Robert Downey Jr.,0.6666666666666666,Acting,Robert Downey Jr.,1.0
Channing Tatum,0.6666666666666666,Acting,Channing Tatum,1.0
Eva De Dominici,0.3333333333333333,Acting,Eva De Dominici,1.0
Gabriel Guevara,0.6666666666666666,Acting,Gabriel Guevara,1.0
Eiza González,0.3333333333333333,Acting,Eiza González,1.0
Chris Evans,0.6666666666666666,Acting,Chris Evans,1.0
Maruthi Dasari,0.6666666666666666,Directing,Maruthi Dasari,1.0
Tyriq Withers,0.6666666666666666,Acting,Tyriq Withers,1.0
Madelyn Cline,0.3333333333333333,Acting,Madelyn Cline,1.0
Cemre Baysel,0.3333333333333333,Acting,Cemre Baysel,1.0
Diane Lane,0.3333333333333333,Acting,Diane Lane,1.0
Adan Canto,0.6666666666666666,Acting,Adan Canto,1.0
Ethan Hawke,0.6666666666666666,Acting,Ethan Hawke,1.0
Joey King,0.3333333333333333,Acting,Joey King,1.0
Harold Perrineau,0.6666666666666666,Acting,Harold Perrineau,1.0
Jenn Rosa,0.3333333333333333,Acting,Jenn Rosa,1.0
David Harbour,0.6666666666666666,Acting,David Harbour,1.0
Seol In-A,0.3333333333333333,Acting,설인아,1.0
Samantha Brown,0.3333333333333333,Acting,Samantha Brown,1.0
Ushasi Ray,0.3333333333333333,Acting,Ushasi Ray,1.0
Alessandro Genovesi,0.6666666666666666,Directing,Alessandro Genovesi,1.0
Miles Teller,0.6666666666666666,Acting,Miles Teller,1.0
Kate Winslet,0.3333333333333333,Acting,Kate Winslet,1.0
Chen Zheyuan,0.6666666666666666,Acting,陈哲远,1.0
Nina Van Pallandt,0.3333333333333333,Acting,Nina van Pallandt,1.0
Kim Woo-Bin,0.6666666666666666,Acting,김우빈,1.0
Afra Saraçoğlu,0.3333333333333333,Acting,Afra Saraçoğlu,1.0
Jennifer Lawrence,0.3333333333333333,Acting,Jennifer Lawrence,1.0
Kevin Costner,0.6666666666666666,Acting,Kevin Costner,1.0
Pedro Infante,0.6666666666666666,Acting,Pedro Infante,1.0
Emma Watson,0.3333333333333333,Acting,Emma Watson,1.0
Jason Momoa,0.6666666666666666,Acting,Jason Momoa,1.0
Erdem Şanlı,0.6666666666666666,Acting,Erdem Şanlı,1.0
Asa Butterfield,0.6666666666666666,Acting,Asa Butterfield,1.0
Bryan Cranston,0.6666666666666666,Acting,Bryan Cranston,1.0
